City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
389,Kudahuvadhoo,MV,79.88,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
390,Moroni,KM,78.4,overcast clouds,-11.7022,43.2551,Hotel les Arcades
392,Pauini,BR,75.0,moderate rain,-7.7136,-66.9764,Casa do Kiwliks
393,Uberlandia,BR,69.19,broken clouds,-18.9186,-48.2772,Hotel Apollo
395,Cidreira,BR,70.84,broken clouds,-30.1811,-50.2056,Hotel Castelo
397,Esmeraldas,BR,79.66,broken clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
398,Laguna,US,66.04,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
405,Canby,US,52.77,clear sky,45.2629,-122.6926,Canby Country Inn
409,Larap,PH,74.73,clear sky,14.299,122.6504,Montemayor Cove
419,Gerash,IR,51.37,broken clouds,27.6652,54.1371,Sa'adat House Gerash
422,Bafang,CM,65.71,broken clouds,5.1563,10.1788,Motel Mary-Alex
425,Kupang,ID,79.38,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
426,Buncrana,IE,52.39,overcast clouds,55.1333,-7.45,Inishowen Gateway Hotel
432,Abilene,US,57.69,clear sky,32.4487,-99.7331,La Quinta Inn by Wyndham Abilene
433,Gwanda,ZW,69.24,overcast clouds,-20.9333,29.0,Mafax Homeways
434,Thaba-Tseka,LS,51.98,scattered clouds,-29.522,28.6084,Motherland Guesthouse
435,Kabinda,CD,66.72,light rain,-6.1333,24.4833,Village Mianda Mutole
436,Karratha,AU,78.98,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
437,Luanda,AO,78.62,broken clouds,-8.8368,13.2343,Hotel Fórum
439,Richards Bay,ZA,74.57,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
440,Dzaoudzi,YT,78.69,clear sky,-12.7887,45.2699,Le Rocher
441,Sao Sepe,BR,71.78,few clouds,-30.1606,-53.5653,Trevo Parque Hotel
442,Akonolinga,CM,67.41,overcast clouds,3.7667,12.25,Le Diamant De Mireille
443,Manjacaze,MZ,74.32,broken clouds,-24.7117,33.8828,Hotel Gani
449,Pemangkat,ID,76.26,overcast clouds,1.1667,108.9667,Ramah Kost KITA
450,Bacolod,PH,78.33,broken clouds,10.6667,122.95,Planta Hotel & Residences
451,Bima,ID,77.94,overcast clouds,-8.4667,118.7167,Lambitu Hotel
454,San Cristobal,VE,71.47,broken clouds,7.7669,-72.225,Posada Villaven C.A.
456,Yarada,IN,69.85,overcast clouds,17.65,83.2667,Yarada Jungle Beach Resorts
459,Landerneau,FR,50.76,overcast clouds,48.4525,-4.2525,Le Clos Du Pontic
461,Bilma,NE,59.07,clear sky,18.6853,12.9164,Expeditions Ténére voyages
462,Cayenne,GF,75.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
464,Dagana,MR,71.2,overcast clouds,16.5165,-15.5068,Quartier Dille koumba fatim thiam
465,Charters Towers,AU,78.85,broken clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
468,Praia Da Vitoria,PT,55.76,broken clouds,38.7333,-27.0667,Hotel Branco I
469,George,ZA,62.65,broken clouds,-33.963,22.4617,Protea Hotel by Marriott George King George
470,Pangkalanbuun,ID,74.08,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
476,Andros Town,BS,75.16,overcast clouds,24.7,-77.7667,Hanks place
477,Porto Novo,BJ,76.42,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
479,Lingao,CN,68.49,broken clouds,19.9103,109.6859,Lingao Ditai Inn
480,Kutum,SD,51.64,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
490,Corvallis,US,55.04,clear sky,44.5646,-123.262,Hilton Garden Inn Corvallis
491,Boyolangu,ID,75.36,overcast clouds,-8.1181,111.8935,Yos ega cv
492,Tocopilla,CL,67.89,few clouds,-22.092,-70.1979,Hotel Galvarino
494,Miraflores,MX,71.87,few clouds,19.2167,-98.8083,Hotel Mansión
499,Lima,PE,72.9,light rain,-12.0432,-77.0282,Gran Hotel Bolivar Lima
501,Samana,DO,76.96,few clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
509,Matamoros,MX,59.11,broken clouds,25.5333,-103.25,Quinta Belem
510,Santo Angelo,BR,67.87,scattered clouds,-28.2992,-54.2631,Hotel Nova Esperança Aberto 24h
511,Rapar,IN,61.0,clear sky,23.5667,70.6333,Dharamshi Bapa’s Home
512,Trairi,BR,72.07,overcast clouds,-3.2778,-39.2689,janelas do mar
515,Kathu,TH,75.02,few clouds,7.9178,98.3332,Novotel Phuket Resort
516,Oistins,BB,75.51,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
519,Labuhan,ID,78.44,overcast clouds,-6.8844,112.2051,DoubleFAG
522,Hoi An,VN,69.76,broken clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
525,Buchanan,LR,78.76,scattered clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
528,Port Macquarie,AU,74.89,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
529,Souillac,MU,77.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
531,Campina Grande Do Sul,BR,62.53,overcast clouds,-25.3056,-49.0553,Chácara Espaço Dorigon
536,Riyadh,SA,50.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
541,Miri,MY,74.98,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
542,Victor Harbor,AU,73.8,scattered clouds,-35.5667,138.6167,McCracken Country Club
547,Hualmay,PE,71.37,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
548,Sisophon,KH,75.99,clear sky,13.5859,102.9737,Pyramid Hotel
552,Mocuba,MZ,71.1,few clouds,-16.8392,36.9856,Phama Lodge
553,Devonport,AU,72.01,scattered clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
555,Alice Springs,AU,74.75,overcast clouds,-23.7,133.8833,Desert Palms Alice Springs
556,Jaisalmer,IN,59.02,clear sky,26.9147,70.9181,Hotel Fifu
557,Bajil,YE,75.33,clear sky,15.0584,43.2851,فندق حضرموت
558,Mexico,PH,78.15,scattered clouds,15.0646,120.7198,stone place
561,Bam,IR,50.34,clear sky,29.106,58.357,Bam Tourist Hotel
563,Villamontes,BO,76.98,overcast clouds,-21.25,-63.5,Hotel Raldes
564,Conde,BR,72.86,light rain,-7.2597,-34.9075,Pousada Beija Flor
565,San Pedro,PH,77.36,clear sky,14.35,121.0167,Villa Veronica Resort Private Pool
567,Guane,CU,72.93,scattered clouds,22.2025,-84.0875,base de Campismo LosPortales de Guane
568,Ajdabiya,LY,54.19,clear sky,30.7554,20.2263,Almadina Hotel
569,Kitgum,UG,72.99,broken clouds,3.2783,32.8867,Jaflo Gardens Hotel
570,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
575,Coxim,BR,76.21,light rain,-18.5067,-54.76,Hotel Avenida
576,Belawan,ID,75.49,broken clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
577,Escarcega,MX,72.79,overcast clouds,18.6089,-90.7454,Hotel Maria Isabel
585,La Paz,BO,51.78,broken clouds,-16.5,-68.15,Hotel Sagarnaga
589,Abha,SA,52.05,few clouds,18.2164,42.5053,Abha Hotel
590,Januaria,BR,74.5,overcast clouds,-15.4833,-44.3667,Hotel Paraguassu
591,Nandyal,IN,64.33,scattered clouds,15.4833,78.4833,Hotel Shobha
595,Cozumel,MX,78.87,broken clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
597,Senador Jose Porfirio,BR,75.09,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
601,Pitimbu,BR,73.99,light rain,-7.4706,-34.8086,Reserva do Abiaí
604,Porbandar,IN,64.71,clear sky,21.6422,69.6093,Lords Inn Porbandar
609,Palimbang,PH,79.03,overcast clouds,6.2106,124.1894,Felmar Beach resort
611,Mandurah,AU,79.16,clear sky,-32.55,115.7,Atrium Hotel Mandurah
612,Le Port,RE,75.2,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
613,Cabedelo,BR,74.07,moderate rain,-6.9811,-34.8339,Hotel Pigalle
614,Srandakan,ID,75.42,broken clouds,-7.9386,110.2506,Puri Brata
615,Goiatuba,BR,68.58,broken clouds,-18.0125,-49.3547,Hotel Barrocos
618,Khuzdar,PK,51.22,clear sky,27.7384,66.6434,JCO quarters
620,Sweetwater,US,73.42,broken clouds,25.7634,-80.3731,Li'l Abner Mobile Home Park
621,Sur,OM,68.79,clear sky,22.5667,59.5289,Sur Plaza Hotel
623,Cameron Park,US,64.45,overcast clouds,38.6688,-120.9872,Quality Inn & Suites Cameron Park Shingle Springs
624,Palatka,US,57.97,overcast clouds,29.6486,-81.6376,"Holiday Inn Express & Suites Palatka Northwest, an IHG Hotel"
625,Progreso,MX,77.11,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
630,Tambura,SS,69.76,broken clouds,5.6,27.4667,Rikito Lodge
633,Oriximina,BR,75.87,light rain,-1.7656,-55.8661,Pousada Tia Amélia
635,Ibanda,TZ,64.63,overcast clouds,-2.7974,32.4746,Lahe Hotel Mwanza
637,Rock Sound,BS,76.3,overcast clouds,24.9,-76.2,Pink Corral Bay Property
640,Edeia,BR,70.48,broken clouds,-17.3383,-49.9314,Hotel Imperial Edeia
641,Kendari,ID,76.73,overcast clouds,-3.945,122.4989,Hotel Wixel
642,Waingapu,ID,79.03,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
649,Kikwit,CD,73.31,overcast clouds,-5.041,18.8162,HOTEL PLACE YALABA
650,Biltine,TD,62.44,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
651,Iracoubo,GF,75.6,scattered clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
655,Tibati,CM,71.58,overcast clouds,6.4667,12.6333,Tibati Hotel
658,Kindu,CD,71.83,overcast clouds,-2.95,25.95,Résidence Okanda
659,Gorey,IE,54.57,overcast clouds,52.6747,-6.2925,Amber Springs Hotel and Health Spa
663,Clonakilty,IE,52.09,overcast clouds,51.6231,-8.8706,Inchydoney Island Lodge & Spa
665,Darnah,LY,53.62,clear sky,32.767,22.6367,فندق الفردوس
668,Atocha,BO,55.92,light rain,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
670,Sabya,SA,76.77,clear sky,17.1495,42.6254,Aseel Hotel Apartment
671,Pacific Grove,US,73.08,clear sky,36.6177,-121.9166,Lovers Point Inn
672,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
677,Santa Lucia,ES,54.72,few clouds,27.9117,-15.5407,Las Tirajanas
678,Riberalta,BO,77.2,overcast clouds,-10.9833,-66.1,Hotel Colonial
679,Prabumulih,ID,71.73,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
680,Bacungan,PH,77.38,overcast clouds,9.9106,118.7022,Sumayang Property
681,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
682,Eyl,SO,73.2,overcast clouds,7.9803,49.8164,Amiin Hotel
683,Sokoto,NG,70.34,clear sky,13.0609,5.239,Giginya Coral Hotel
