City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Sioux Lookout,CA,50.1001,-91.917,5.38,60,40,2.3,scattered clouds
128,Concepcion,CL,-36.827,-73.0498,62.4,82,100,8.05,overcast clouds
129,Dzilam Gonzalez,MX,21.2833,-88.9333,74.1,73,43,9.04,scattered clouds
130,Iskateley,RU,67.6803,53.1512,-2.51,97,98,9.89,overcast clouds
131,Barrow,US,71.2906,-156.7887,-18.69,97,91,12.8,overcast clouds
132,Thompson,CA,55.7435,-97.8558,-5.64,71,100,6.91,overcast clouds
133,Solnechnyy,RU,50.7214,136.6319,-7.89,97,100,2.39,overcast clouds
134,Steinbach,DE,50.1667,8.5667,40.6,85,20,8.05,few clouds
135,North Myrtle Beach,US,33.816,-78.68,45.21,59,100,3.0,overcast clouds
136,Whitehorse,CA,60.7161,-135.0538,36.37,69,75,13.8,broken clouds
137,Vostok,RU,46.4856,135.8833,-11.42,99,100,4.09,overcast clouds
138,Tautira,PF,-17.7333,-149.15,84.22,75,25,16.06,light rain
139,Coruripe,BR,-10.1256,-36.1756,80.28,78,98,14.74,overcast clouds
140,Manggar,ID,-2.8833,108.2667,78.4,81,100,6.35,overcast clouds
141,Yar-Sale,RU,66.8333,70.8333,-10.12,98,85,7.31,overcast clouds
142,Solhan,TR,38.9634,41.0293,18.91,94,100,1.32,light snow
143,Eatonton,US,33.3268,-83.3885,49.35,47,99,14.27,overcast clouds
144,Walvis Bay,NA,-22.9575,14.5053,64.09,88,0,3.44,clear sky
145,Saskylakh,RU,71.9167,114.0833,-0.74,90,100,5.95,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,5.94,69,55,6.91,broken clouds
147,Lompoc,US,34.6391,-120.4579,73.71,38,0,9.22,clear sky
148,Gimli,CA,50.6336,-96.9907,1.42,71,89,3.44,overcast clouds
149,Ust-Tsilma,RU,65.441,52.1498,6.93,93,99,7.16,overcast clouds
150,Svirstroy,RU,60.7999,33.7248,13.86,98,100,1.97,overcast clouds
151,Boundiali,CI,9.5217,-6.4869,76.01,17,34,0.22,scattered clouds
152,Tura,IN,25.5198,90.2201,49.5,55,0,3.83,clear sky
153,Hasaki,JP,35.7333,140.8333,34.2,51,100,6.06,overcast clouds
154,Cherskiy,RU,68.75,161.3,-10.77,93,100,3.42,overcast clouds
155,Kaitangata,NZ,-46.2817,169.8464,63.93,74,92,2.91,overcast clouds
