City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
97,Tuktoyaktuk,CA,2022-01-17 21:39:35,69.4541,-133.0374,-29.2,75,40,5.75
98,Nome,US,2022-01-17 21:39:35,64.5011,-165.4064,-11.13,70,0,3.44
99,Busselton,AU,2022-01-17 21:39:35,-33.65,115.3333,65.05,67,15,12.03
100,Cardoso,BR,2022-01-17 21:39:35,-20.0819,-49.9142,77.67,67,61,6.69
101,East London,ZA,2022-01-17 21:34:57,-33.0153,27.9116,72.97,90,1,12.77
102,Gerash,IR,2022-01-17 21:39:36,27.6652,54.1371,57.34,83,89,2.3
103,Severodvinsk,RU,2022-01-17 21:39:36,64.5635,39.8302,21.31,97,83,5.77
104,Nosy Varika,MG,2022-01-17 21:39:36,-20.5833,48.5333,73.65,93,100,1.41
105,Beloha,MG,2022-01-17 21:39:37,-25.1667,45.05,70.72,81,99,9.66
106,Grindavik,IS,2022-01-17 21:39:37,63.8424,-22.4338,43.9,93,100,21.85
107,Ulaangom,MN,2022-01-17 21:39:37,49.9811,92.0667,-5.42,95,100,2.08
108,Kangaatsiaq,GL,2022-01-17 21:39:37,68.3065,-53.4641,4.93,93,100,10.67
109,Vaini,TO,2022-01-17 21:39:38,-21.2,-175.2,81.16,85,57,18.21
110,Armizonskoye,RU,2022-01-17 21:39:38,55.9461,67.6736,3.45,92,21,14.7
111,Seryshevo,RU,2022-01-17 21:39:38,51.0933,128.3786,-21.26,98,55,4.63
112,Kudahuvadhoo,MV,2022-01-17 21:39:38,2.6708,72.8944,81.77,78,92,20.36
113,Port Alfred,ZA,2022-01-17 21:39:39,-33.5906,26.891,71.96,94,9,13.02
114,New Norfolk,AU,2022-01-17 21:39:39,-42.7826,147.0587,62.74,57,88,2.59
115,Tangier,MA,2022-01-17 21:39:39,35.7806,-5.8137,56.46,71,0,17.27
116,Sosnogorsk,RU,2022-01-17 21:39:40,63.6023,53.8817,12.87,95,100,5.93
117,Impfondo,CG,2022-01-17 21:39:40,1.6381,18.0667,72.66,85,100,2.84
118,Port Hueneme,US,2022-01-17 21:39:40,34.1478,-119.1951,67.95,69,75,10.36
119,Qui Nhon,VN,2022-01-17 21:39:40,13.7667,109.2333,69.58,89,74,9.86
120,Kununurra,AU,2022-01-17 21:36:50,-15.7667,128.7333,78.78,94,100,1.14
121,Kodiak,US,2022-01-17 21:39:41,57.79,-152.4072,26.11,74,0,0.0
122,North Bend,US,2022-01-17 21:39:41,43.4065,-124.2243,50.07,93,100,4.61
123,Novoagansk,RU,2022-01-17 21:39:41,61.9449,76.6625,7.07,90,100,18.68
124,Constitucion,CL,2022-01-17 21:39:42,-35.3333,-72.4167,60.91,51,1,22.97
125,Saskylakh,RU,2022-01-17 21:39:42,71.9167,114.0833,-11.2,93,89,15.77
126,Hilo,US,2022-01-17 21:39:42,19.7297,-155.09,81.25,67,20,9.22
127,Borovskoy,KZ,2022-01-17 21:39:43,53.8,64.15,7.03,91,10,14.38
128,Daru,PG,2022-01-17 21:39:43,-9.0763,143.2092,79.34,85,99,5.17
129,Anito,PH,2022-01-17 21:39:43,12.4497,125.2886,75.54,87,99,11.43
130,San Nicolas,PH,2022-01-17 21:39:44,18.1725,120.5953,66.11,94,40,4.61
131,Valparaiso,CL,2022-01-17 21:39:44,-33.0393,-71.6273,73.04,36,0,18.41
132,Naihati,IN,2022-01-17 21:39:44,22.9028,88.4169,58.89,61,0,7.61
133,Hami,CN,2022-01-17 21:39:44,42.8,93.45,25.43,46,0,5.19
134,Sibolga,ID,2022-01-17 21:39:45,1.7427,98.7792,75.36,89,98,3.76
135,Imbituba,BR,2022-01-17 21:37:14,-28.24,-48.6703,84.09,92,61,3.09
136,Arraial Do Cabo,BR,2022-01-17 21:39:45,-22.9661,-42.0278,80.56,74,0,13.8
137,Mount Pleasant,US,2022-01-17 21:39:45,32.7941,-79.8626,51.94,50,20,4.0
138,Puerto Quijarro,BO,2022-01-17 21:40:46,-17.7833,-57.7667,92.25,38,51,5.75
139,Cidreira,BR,2022-01-17 21:40:46,-30.1811,-50.2056,79.74,80,58,11.45
140,Egvekinot,RU,2022-01-17 21:40:46,66.3167,-179.1667,-17.32,78,0,10.07
141,Itarema,BR,2022-01-17 21:40:46,-2.9248,-39.9167,80.82,77,54,15.41
142,Xiuyan,CN,2022-01-17 21:40:47,40.2928,123.2744,9.34,59,80,0.83
143,Norden,DE,2022-01-17 21:40:47,53.6,7.2,44.96,97,34,13.27
144,Leningradskiy,RU,2022-01-17 21:40:47,69.3833,178.4167,-24.45,89,8,5.14
